#
# Transition date estimate for harvardbarn
#
# Site: harvardbarn
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2022
# Final Processing Date: 2022-10-12
# Final Processing Time: 12:11:39
# Spline RMSE gcc_mean: 0.00294
# Spline RMSE gcc_50: 0.00295
# Spline RMSE gcc_75: 0.00308
# Spline RMSE gcc_90: 0.00345
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn,DB,1000,rising,gcc_50,2016-05-08,2016-05-12,2016-05-18,2016-05-07,2016-05-11,2016-05-17,2016-05-10,2016-05-14,2016-05-19,0.30149,0.3149,0.3441,0.29268,0.39519
harvardbarn,DB,1000,rising,gcc_50,2017-05-02,2017-05-10,2017-05-16,2017-04-29,2017-05-09,2017-05-15,2017-05-06,2017-05-12,2017-05-17,0.30366,0.3161,0.34453,0.29396,0.39107
harvardbarn,DB,1000,rising,gcc_50,2018-05-05,2018-05-09,2018-05-15,2018-05-04,2018-05-08,2018-05-13,2018-05-07,2018-05-11,2018-05-16,0.30418,0.31882,0.35304,0.29617,0.39891
harvardbarn,DB,1000,rising,gcc_50,2019-05-09,2019-05-13,2019-05-19,2019-05-07,2019-05-12,2019-05-18,2019-05-11,2019-05-15,2019-05-20,0.30733,0.31922,0.34799,0.29806,0.39397
harvardbarn,DB,1000,rising,gcc_50,2020-05-10,2020-05-16,2020-05-22,2020-04-27,2020-05-15,2020-05-21,2020-05-13,2020-05-18,2020-05-23,0.3047,0.32,0.35465,0.29461,0.41096
harvardbarn,DB,1000,rising,gcc_50,2021-05-08,2021-05-11,2021-05-16,2021-05-06,2021-05-10,2021-05-15,2021-05-09,2021-05-12,2021-05-17,0.31525,0.32865,0.35981,0.30456,0.41167
harvardbarn,DB,1000,rising,gcc_50,2022-05-09,2022-05-12,2022-05-16,2022-05-08,2022-05-11,2022-05-15,2022-05-11,2022-05-13,2022-05-17,0.3165,0.32937,0.36046,0.30674,0.40919
harvardbarn,DB,1000,rising,gcc_mean,2012-04-24,2012-05-03,2012-05-10,2012-04-21,2012-05-02,2012-05-08,2012-04-29,2012-05-05,2012-05-11,0.30589,0.31843,0.34599,0.29774,0.38774
harvardbarn,DB,1000,rising,gcc_mean,2013-05-01,2013-05-05,2013-05-11,2013-04-30,2013-05-04,2013-05-09,2013-05-03,2013-05-07,2013-05-12,0.29658,0.3095,0.33774,0.28956,0.38079
harvardbarn,DB,1000,rising,gcc_mean,2014-05-09,2014-05-12,2014-05-18,2014-05-07,2014-05-11,2014-05-16,2014-05-11,2014-05-14,2014-05-19,0.30144,0.31239,0.34817,0.29187,0.39231
harvardbarn,DB,1000,rising,gcc_mean,2015-05-04,2015-05-07,2015-05-13,2015-05-03,2015-05-06,2015-05-11,2015-05-06,2015-05-09,2015-05-14,0.30146,0.31377,0.34591,0.29469,0.38692
harvardbarn,DB,1000,rising,gcc_mean,2016-05-08,2016-05-12,2016-05-18,2016-05-07,2016-05-11,2016-05-17,2016-05-10,2016-05-14,2016-05-19,0.3011,0.31448,0.34387,0.29278,0.39331
harvardbarn,DB,1000,rising,gcc_mean,2017-05-01,2017-05-10,2017-05-16,2017-04-29,2017-05-09,2017-05-14,2017-05-06,2017-05-12,2017-05-17,0.30247,0.31612,0.34459,0.29402,0.38978
harvardbarn,DB,1000,rising,gcc_mean,2018-05-05,2018-05-09,2018-05-14,2018-05-04,2018-05-08,2018-05-13,2018-05-07,2018-05-10,2018-05-15,0.30468,0.31968,0.34573,0.29562,0.39509
harvardbarn,DB,1000,rising,gcc_mean,2019-05-09,2019-05-13,2019-05-19,2019-05-07,2019-05-12,2019-05-18,2019-05-11,2019-05-15,2019-05-20,0.30691,0.31848,0.3468,0.29767,0.39205
harvardbarn,DB,1000,rising,gcc_mean,2020-05-10,2020-05-16,2020-05-22,2020-05-02,2020-05-15,2020-05-21,2020-05-13,2020-05-18,2020-05-23,0.30518,0.32078,0.35421,0.29459,0.40898
harvardbarn,DB,1000,rising,gcc_mean,2021-05-07,2021-05-11,2021-05-16,2021-05-06,2021-05-10,2021-05-14,2021-05-09,2021-05-12,2021-05-17,0.31294,0.32915,0.36029,0.30449,0.40933
harvardbarn,DB,1000,rising,gcc_mean,2022-05-08,2022-05-12,2022-05-16,2022-05-07,2022-05-11,2022-05-15,2022-05-10,2022-05-13,2022-05-17,0.31401,0.32953,0.35942,0.3061,0.40562
harvardbarn,DB,1000,falling,gcc_90,2021-11-03,2021-10-31,2021-10-22,2021-11-04,2021-11-01,2021-10-25,2021-11-01,2021-10-29,2021-10-21,0.31849,0.33124,0.36143,0.31188,0.40675
harvardbarn,DB,1000,falling,gcc_90,2020-10-22,2020-10-19,2020-10-14,2020-10-23,2020-10-20,2020-10-15,2020-10-20,2020-10-18,2020-10-13,0.31492,0.32786,0.35408,0.30683,0.40053
harvardbarn,DB,1000,falling,gcc_90,2019-10-22,2019-10-19,2019-10-14,2019-10-23,2019-10-20,2019-10-15,2019-10-20,2019-10-18,2019-10-13,0.31323,0.32565,0.34736,0.30653,0.3872
harvardbarn,DB,1000,falling,gcc_90,2018-11-03,2018-10-29,2018-10-18,2018-11-05,2018-10-31,2018-10-21,2018-11-01,2018-10-27,2018-10-15,0.31696,0.3295,0.35037,0.31002,0.39017
harvardbarn,DB,1000,falling,gcc_90,2017-11-06,2017-11-03,2017-10-26,2017-11-07,2017-11-04,2017-10-28,2017-11-04,2017-11-01,2017-10-25,0.30851,0.31926,0.3474,0.3008,0.38924
harvardbarn,DB,1000,falling,gcc_90,2016-11-03,2016-10-31,2016-10-25,2016-11-04,2016-11-01,2016-10-27,2016-11-01,2016-10-30,2016-10-24,0.3021,0.31899,0.34146,0.29795,0.38262
harvardbarn,DB,1000,falling,gcc_90,2015-11-02,2015-10-28,2015-10-18,2015-11-05,2015-10-30,2015-10-20,2015-10-31,2015-10-26,2015-10-16,0.31013,0.32218,0.34474,0.30155,0.38757
harvardbarn,DB,1000,falling,gcc_90,2014-10-25,2014-10-23,2014-10-17,2014-10-26,2014-10-24,2014-10-18,2014-10-24,2014-10-21,2014-10-16,0.30871,0.31843,0.34386,0.30101,0.38628
harvardbarn,DB,1000,falling,gcc_90,2013-10-23,2013-10-19,2013-10-12,2013-10-24,2013-10-20,2013-10-14,2013-10-21,2013-10-17,2013-10-11,0.30165,0.3135,0.33704,0.29422,0.3764
harvardbarn,DB,1000,falling,gcc_90,2012-10-21,2012-10-18,2012-10-13,2012-10-22,2012-10-19,2012-10-15,2012-10-19,2012-10-17,2012-10-12,0.29619,0.31336,0.33775,0.29265,0.37706
harvardbarn,DB,1000,falling,gcc_75,2021-11-03,2021-10-31,2021-10-23,2021-11-04,2021-11-01,2021-10-26,2021-11-01,2021-10-29,2021-10-22,0.315,0.32864,0.35788,0.30805,0.40342
