#
# Transition date estimate for harvard
#
# Site: harvard
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2022
# Final Processing Date: 2022-10-25
# Final Processing Time: 13:29:02
# Spline RMSE gcc_mean: 0.00385
# Spline RMSE gcc_50: 0.00374
# Spline RMSE gcc_75: 0.00405
# Spline RMSE gcc_90: 0.00478
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvard,DB,1000,rising,gcc_75,2019-05-05,2019-05-11,2019-05-18,2019-05-02,2019-05-10,2019-05-16,2019-05-07,2019-05-13,2019-05-19,0.38468,0.39795,0.42563,0.37571,0.47024
harvard,DB,1000,rising,gcc_75,2020-05-11,2020-05-15,2020-05-21,2020-05-10,2020-05-14,2020-05-19,2020-05-13,2020-05-17,2020-05-22,0.38191,0.39547,0.42251,0.37555,0.46519
harvard,DB,1000,rising,gcc_75,2021-05-04,2021-05-09,2021-05-15,2021-05-02,2021-05-08,2021-05-14,2021-05-06,2021-05-11,2021-05-16,0.38615,0.3999,0.42556,0.3772,0.4721
harvard,DB,1000,rising,gcc_75,2022-05-05,2022-05-09,2022-05-15,2022-05-03,2022-05-08,2022-05-13,2022-05-07,2022-05-11,2022-05-16,0.3844,0.39653,0.42251,0.37583,0.4632
harvard,DB,1000,rising,gcc_50,2008-05-02,2008-05-07,2008-05-15,2008-04-29,2008-05-06,2008-05-13,2008-05-04,2008-05-09,2008-05-16,0.37315,0.38411,0.40969,0.36471,0.44964
harvard,DB,1000,rising,gcc_50,2009-04-24,2009-05-02,2009-05-10,2009-04-21,2009-05-01,2009-05-08,2009-04-28,2009-05-04,2009-05-11,0.37183,0.38483,0.4109,0.36372,0.45249
harvard,DB,1000,rising,gcc_50,2010-04-17,2010-04-25,2010-05-02,2010-04-02,2010-04-24,2010-05-01,2010-04-21,2010-04-27,2010-05-03,0.37329,0.38542,0.41041,0.3643,0.45625
harvard,DB,1000,rising,gcc_50,2011-04-30,2011-05-07,2011-05-14,2011-04-26,2011-05-05,2011-05-12,2011-05-03,2011-05-09,2011-05-15,0.37401,0.38827,0.41238,0.3653,0.45746
harvard,DB,1000,rising,gcc_50,2012-04-21,2012-05-01,2012-05-08,2012-04-13,2012-04-29,2012-05-07,2012-04-25,2012-05-03,2012-05-09,0.37715,0.39162,0.41685,0.36798,0.46287
harvard,DB,1000,rising,gcc_50,2013-04-27,2013-05-03,2013-05-11,2013-04-24,2013-05-02,2013-05-09,2013-04-30,2013-05-05,2013-05-12,0.37576,0.38848,0.41769,0.36732,0.46013
harvard,DB,1000,rising,gcc_50,2014-05-06,2014-05-10,2014-05-17,2014-05-04,2014-05-09,2014-05-15,2014-05-08,2014-05-12,2014-05-18,0.37851,0.39206,0.42196,0.36875,0.46754
harvard,DB,1000,rising,gcc_50,2015-04-29,2015-05-04,2015-05-11,2015-04-26,2015-05-03,2015-05-09,2015-05-01,2015-05-06,2015-05-12,0.376,0.387,0.41268,0.36742,0.455
harvard,DB,1000,rising,gcc_50,2016-05-05,2016-05-11,2016-05-18,2016-05-02,2016-05-10,2016-05-16,2016-05-08,2016-05-13,2016-05-19,0.37982,0.39264,0.42284,0.3702,0.46741
harvard,DB,1000,rising,gcc_50,2017-05-02,2017-05-08,2017-05-15,2017-04-25,2017-05-07,2017-05-14,2017-05-04,2017-05-10,2017-05-16,0.37945,0.39346,0.42127,0.36938,0.47264
harvard,DB,1000,rising,gcc_50,2018-05-02,2018-05-07,2018-05-14,2018-04-30,2018-05-06,2018-05-12,2018-05-04,2018-05-09,2018-05-15,0.37909,0.39366,0.42196,0.37058,0.46717
harvard,DB,1000,rising,gcc_50,2019-05-05,2019-05-11,2019-05-18,2019-04-30,2019-05-10,2019-05-16,2019-05-07,2019-05-13,2019-05-19,0.38118,0.39389,0.42018,0.37196,0.46462
harvard,DB,1000,rising,gcc_50,2020-05-11,2020-05-15,2020-05-21,2020-05-10,2020-05-14,2020-05-20,2020-05-13,2020-05-17,2020-05-22,0.3795,0.39186,0.41821,0.37262,0.46137
harvard,DB,1000,rising,gcc_50,2021-05-03,2021-05-09,2021-05-15,2021-05-02,2021-05-08,2021-05-14,2021-05-06,2021-05-11,2021-05-16,0.38205,0.39666,0.42118,0.37422,0.46777
harvard,DB,1000,rising,gcc_50,2022-05-04,2022-05-09,2022-05-15,2022-05-03,2022-05-08,2022-05-13,2022-05-07,2022-05-11,2022-05-16,0.37966,0.39335,0.41843,0.37343,0.45866
harvard,DB,1000,rising,gcc_mean,2008-05-01,2008-05-07,2008-05-14,2008-04-29,2008-05-06,2008-05-12,2008-05-04,2008-05-09,2008-05-15,0.37047,0.38345,0.406,0.36329,0.44835
harvard,DB,1000,rising,gcc_mean,2009-04-24,2009-05-01,2009-05-09,2009-04-20,2009-04-30,2009-05-08,2009-04-27,2009-05-04,2009-05-10,0.37114,0.38216,0.40717,0.36237,0.45091
harvard,DB,1000,rising,gcc_mean,2010-04-17,2010-04-25,2010-05-02,2010-04-07,2010-04-24,2010-04-30,2010-04-21,2010-04-27,2010-05-03,0.37256,0.38575,0.41124,0.36334,0.45558
harvard,DB,1000,rising,gcc_mean,2011-04-30,2011-05-06,2011-05-14,2011-04-27,2011-05-05,2011-05-12,2011-05-03,2011-05-08,2011-05-15,0.37318,0.38573,0.4125,0.36473,0.45635
harvard,DB,1000,rising,gcc_mean,2012-04-20,2012-04-30,2012-05-08,2012-04-12,2012-04-29,2012-05-06,2012-04-25,2012-05-02,2012-05-09,0.37617,0.38929,0.41778,0.36686,0.46256
harvard,DB,1000,rising,gcc_mean,2013-04-27,2013-05-03,2013-05-10,2013-04-24,2013-05-02,2013-05-09,2013-04-30,2013-05-05,2013-05-11,0.37524,0.38874,0.41355,0.36655,0.45905
harvard,DB,1000,rising,gcc_mean,2014-05-06,2014-05-10,2014-05-17,2014-05-04,2014-05-09,2014-05-15,2014-05-08,2014-05-11,2014-05-18,0.37768,0.39186,0.42249,0.36779,0.46691
harvard,DB,1000,rising,gcc_mean,2015-04-29,2015-05-04,2015-05-11,2015-04-27,2015-05-03,2015-05-09,2015-05-02,2015-05-06,2015-05-12,0.3748,0.38631,0.41231,0.36696,0.45475
harvard,DB,1000,rising,gcc_mean,2016-05-04,2016-05-11,2016-05-17,2016-05-01,2016-05-10,2016-05-16,2016-05-07,2016-05-12,2016-05-18,0.37824,0.39287,0.4183,0.36886,0.4671
harvard,DB,1000,rising,gcc_mean,2017-05-01,2017-05-08,2017-05-15,2017-04-25,2017-05-07,2017-05-14,2017-05-04,2017-05-10,2017-05-16,0.3779,0.394,0.42273,0.36832,0.47357
harvard,DB,1000,rising,gcc_mean,2018-05-02,2018-05-06,2018-05-14,2018-04-30,2018-05-05,2018-05-12,2018-05-04,2018-05-08,2018-05-15,0.37882,0.39051,0.42271,0.3695,0.46569
harvard,DB,1000,rising,gcc_mean,2019-05-04,2019-05-11,2019-05-18,2019-04-30,2019-05-09,2019-05-16,2019-05-07,2019-05-13,2019-05-19,0.37978,0.39437,0.42125,0.37097,0.46534
harvard,DB,1000,rising,gcc_mean,2020-05-11,2020-05-15,2020-05-21,2020-05-10,2020-05-14,2020-05-19,2020-05-13,2020-05-17,2020-05-22,0.37934,0.39212,0.41839,0.3718,0.46049
harvard,DB,1000,rising,gcc_mean,2021-05-03,2021-05-08,2021-05-15,2021-05-01,2021-05-07,2021-05-14,2021-05-05,2021-05-10,2021-05-16,0.3819,0.39403,0.42149,0.37323,0.46671
harvard,DB,1000,rising,gcc_mean,2022-05-04,2022-05-09,2022-05-15,2022-05-03,2022-05-08,2022-05-13,2022-05-06,2022-05-11,2022-05-16,0.37921,0.3933,0.41852,0.37241,0.45732
harvard,DB,1000,falling,gcc_90,2022-10-22,2022-10-19,2022-10-13,2022-10-29,2022-10-21,2022-10-15,2022-10-20,2022-10-17,2022-10-12,0.37935,0.39241,0.41535,0.37228,0.45453
harvard,DB,1000,falling,gcc_90,2021-11-05,2021-11-02,2021-10-24,2021-11-07,2021-11-03,2021-10-27,2021-11-03,2021-10-30,2021-10-23,0.39067,0.40148,0.42678,0.38276,0.46604
harvard,DB,1000,falling,gcc_90,2020-10-22,2020-10-19,2020-10-13,2020-10-23,2020-10-20,2020-10-15,2020-10-20,2020-10-17,2020-10-12,0.38924,0.40051,0.42354,0.38424,0.4588
harvard,DB,1000,falling,gcc_90,2019-10-22,2019-10-19,2019-10-12,2019-10-23,2019-10-20,2019-10-15,2019-10-20,2019-10-17,2019-10-11,0.38514,0.39478,0.424,0.37689,0.46557
harvard,DB,1000,falling,gcc_90,2018-11-06,2018-11-01,2018-10-22,2018-11-07,2018-11-03,2018-10-25,2018-11-03,2018-10-30,2018-10-20,0.38886,0.40322,0.42522,0.38375,0.46354
harvard,DB,1000,falling,gcc_90,2017-11-04,2017-10-30,2017-10-22,2017-11-05,2017-10-31,2017-10-25,2017-11-01,2017-10-28,2017-10-20,0.38767,0.40171,0.42533,0.38201,0.46659
harvard,DB,1000,falling,gcc_90,2016-10-29,2016-10-26,2016-10-18,2016-10-31,2016-10-27,2016-10-20,2016-10-27,2016-10-24,2016-10-17,0.38143,0.39226,0.41963,0.37301,0.46478
harvard,DB,1000,falling,gcc_90,2015-10-29,2015-10-25,2015-10-17,2015-10-30,2015-10-26,2015-10-19,2015-10-26,2015-10-22,2015-10-16,0.38757,0.39824,0.42287,0.38138,0.46007
harvard,DB,1000,falling,gcc_90,2014-10-21,2014-10-18,2014-10-12,2014-10-22,2014-10-19,2014-10-13,2014-10-19,2014-10-16,2014-10-10,0.38553,0.39736,0.42188,0.37822,0.46511
harvard,DB,1000,falling,gcc_90,2013-10-18,2013-10-14,2013-10-03,2013-10-20,2013-10-15,2013-10-06,2013-10-16,2013-10-12,2013-09-29,0.38774,0.39856,0.42214,0.3796,0.46415
harvard,DB,1000,falling,gcc_90,2012-10-20,2012-10-15,2012-10-07,2012-10-22,2012-10-16,2012-10-09,2012-10-18,2012-10-13,2012-10-05,0.38122,0.39296,0.41759,0.37311,0.46155
harvard,DB,1000,falling,gcc_90,2011-10-29,2011-10-23,2011-10-12,2011-10-31,2011-10-25,2011-10-15,2011-10-27,2011-10-21,2011-10-09,0.38476,0.39834,0.41978,0.3775,0.46109
harvard,DB,1000,falling,gcc_90,2010-10-19,2010-10-15,2010-10-07,2010-10-20,2010-10-16,2010-10-09,2010-10-17,2010-10-13,2010-10-06,0.3754,0.38711,0.41168,0.36841,0.45276
